End of video
         741406 function calls (738711 primitive calls) in 49.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   205/33    0.001    0.000    0.004    0.000 sre_compile.py:71(_compile)
      482    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      482    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     2001    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
     2808    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.lock' objects}
      748    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      374    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       86    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
       60    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      220    0.001    0.000    0.001    0.000 meat.py:161(distance)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
    176/1    0.001    0.000   49.104   49.104 <frozen importlib._bootstrap>:650(_load_unlocked)
      316    0.001    0.000    0.028    0.000 overrides.py:166(decorator)
      482    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      166    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      176    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      283    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      716    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x64E9A7D0}
      616    0.001    0.000    0.004    0.000 _inspect.py:98(getargspec)
      108    0.001    0.000    0.001    0.000 meat.py:132(find_line_from_points)
     1846    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       54    0.001    0.000    0.002    0.000 linalg.py:2316(norm)
      141    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
    183/1    0.001    0.000   49.104   49.104 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     1701    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
     1687    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1577    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1345    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
     2808    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.001    0.001   49.099   49.099 main.py:1(<module>)
      540    0.001    0.000    0.001    0.000 <__array_function__ internals>:2(where)
       14    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      273    0.001    0.000    0.004    0.000 function_base.py:460(add_newdoc)
    141/1    0.001    0.000   49.104   49.104 <frozen importlib._bootstrap_external>:777(exec_module)
     3147    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
   203/28    0.001    0.000    0.199    0.007 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.001    0.001    0.001    0.001 parse.py:328(ParseResult)
      162    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
   241/81    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      422    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      675    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     3595    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
   324/12    0.001    0.000    0.199    0.017 {built-in method builtins.__import__}
     1757    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1157    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        8    0.000    0.000    0.001    0.000 __init__.py:313(namedtuple)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      140    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
       60    0.000    0.000    0.002    0.000 fromnumeric.py:73(_wrapreduction)
