Average frame time: 0.015815230921516227
         1141685 function calls (1127177 primitive calls) in 46.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1824    0.002    0.000    0.007    0.000 {built-in method builtins.any}
      688    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      266    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
       27    0.002    0.000    0.007    0.000 meat.py:13(__init__)
     3033    0.002    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      352    0.002    0.000    0.018    0.000 _util.py:277(getargspec_no_self)
     2397    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      830    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     7415    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
       45    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
     5349    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
      115    0.002    0.000    0.028    0.000 _distn_infrastructure.py:622(_construct_argparser)
  851/847    0.002    0.000    0.159    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       89    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
    15697    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     1552    0.002    0.000    0.013    0.000 __init__.py:784(__setitem__)
        1    0.002    0.002    0.003    0.003 <frozen importlib._bootstrap_external>:105(_write_atomic)
     1089    0.001    0.000    0.002    0.000 inspect.py:484(unwrap)
     2476    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FF93CA459A0}
      115    0.001    0.000    0.057    0.000 _distn_infrastructure.py:702(_construct_doc)
     5772    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     4145    0.001    0.000    0.002    0.000 inspect.py:2799(<genexpr>)
     9127    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        2    0.001    0.001    0.004    0.002 decoder.py:343(raw_decode)
      412    0.001    0.000    0.028    0.000 artist.py:1278(get_valid_values)
      688    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        1    0.001    0.001    0.001    0.001 {built-in method nt.replace}
     2062    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
      830    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1102    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     2418    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
     2063    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
  455/196    0.001    0.000    0.023    0.000 sre_parse.py:411(_parse_sub)
      612    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
      888    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
      401    0.001    0.000    0.003    0.000 inspect.py:1799(_signature_bound_method)
     1518    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:403(cached)
     2821    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
       14    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
   490/13    0.001    0.000    0.994    0.076 {built-in method builtins.__import__}
      888    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
     2821    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.lock' objects}
      473    0.001    0.000    0.001    0.000 function_base.py:2031(__init__)
      687    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        1    0.001    0.001    0.026    0.026 __init__.py:58(<module>)
     2064    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     1689    0.001    0.000    0.027    0.000 artist.py:1350(is_alias)
       12    0.001    0.000    0.021    0.002 artist.py:1250(get_aliases)
     3569    0.001    0.000    0.001    0.000 enum.py:526(__new__)
      196    0.001    0.000    0.041    0.000 sre_compile.py:759(compile)
      723    0.001    0.000    0.007    0.000 colors.py:157(to_rgba)
      410    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
     2806    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
      286    0.001    0.000    0.004    0.000 overrides.py:72(verify_matching_signatures)
      761    0.001    0.000    0.001    0.000 ntpath.py:122(splitdrive)
        2    0.001    0.000   46.524   23.262 main.py:1(<module>)
     1721    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       58    0.001    0.000    0.002    0.000 linalg.py:2316(norm)
      887    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:147(__enter__)
       36    0.001    0.000    1.310    0.036 __init__.py:1(<module>)
     2568    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
      135    0.001    0.000    0.004    0.000 deprecation.py:172(deprecate)
      196    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
     1349    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      848    0.001    0.000    0.160    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       32    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
     1033    0.001    0.000    0.034    0.000 inspect.py:2829(from_callable)
     3840    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      316    0.001    0.000    0.022    0.000 overrides.py:166(decorator)
     1011    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       21    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
